epoch,gait_events_binary_accuracy,gait_events_categorical_accuracy,gait_events_loss,gait_sequences_binary_accuracy,gait_sequences_categorical_accuracy,gait_sequences_loss,loss,val_gait_events_binary_accuracy,val_gait_events_categorical_accuracy,val_gait_events_loss,val_gait_sequences_binary_accuracy,val_gait_sequences_categorical_accuracy,val_gait_sequences_loss,val_loss
0,0.9565326571464539,0.8907927870750427,0.06792572885751724,0.8055748343467712,1.0,0.014821948483586311,0.08274760097265244,0.9940117597579956,0.9850350022315979,0.011624091304838657,0.8529987335205078,1.0,0.00799522828310728,0.019619321450591087
1,0.9963200688362122,0.9908155202865601,0.007848207838833332,0.8230897188186646,1.0,0.009908590465784073,0.017756780609488487,0.9957219958305359,0.9893048405647278,0.008652251213788986,0.8744779229164124,1.0,0.006050217896699905,0.014702468179166317
2,0.9976075291633606,0.9940255880355835,0.0047484408132731915,0.7870413064956665,1.0,0.009573851712048054,0.014322302304208279,0.9913105964660645,0.9782775044441223,0.011588098481297493,0.8494194149971008,1.0,0.006429612170904875,0.018017718568444252
3,0.9960345029830933,0.9900909662246704,0.006202735938131809,0.8221091032028198,1.0,0.010089080780744553,0.01629180833697319,0.99375319480896,0.9843897819519043,0.007584367413073778,0.8436076045036316,1.0,0.0062437718734145164,0.013828140683472157
4,0.9964452981948853,0.99111407995224,0.005061921197921038,0.8139979243278503,1.0,0.007975746877491474,0.013037658296525478,0.9966355562210083,0.9915879368782043,0.007258267141878605,0.8870775699615479,1.0,0.005088574718683958,0.012346838600933552
5,0.9970353245735168,0.992588460445404,0.004349701106548309,0.8497390747070312,1.0,0.006942755542695522,0.011292456649243832,0.9947347044944763,0.9868347644805908,0.006507248617708683,0.8773671984672546,1.0,0.005406566429883242,0.011913810856640339
6,0.9977461099624634,0.9943630695343018,0.00323388259857893,0.8621281981468201,1.0,0.0059903766959905624,0.009224262088537216,0.9950445294380188,0.9876103401184082,0.006996076088398695,0.8998920321464539,1.0,0.006075210869312286,0.013071288354694843
7,0.9959654808044434,0.9899162650108337,0.005285096354782581,0.8665445446968079,1.0,0.00735767325386405,0.012642762623727322,0.9957435727119446,0.9893640279769897,0.005384369287639856,0.8830709457397461,1.0,0.004771416075527668,0.010155794210731983
8,0.9974125027656555,0.9935368299484253,0.0035228251945227385,0.8462321162223816,1.0,0.006494361907243729,0.010017182677984238,0.9960377216339111,0.9900952577590942,0.005551415961235762,0.8792965412139893,1.0,0.004995818715542555,0.010547230951488018
9,0.9973219633102417,0.9933004975318909,0.003605404868721962,0.8960217833518982,1.0,0.004877671133726835,0.008483074605464935,0.9927119016647339,0.9817811250686646,0.007681831251829863,0.8777804970741272,1.0,0.005503613036125898,0.013185441493988037
10,0.9976176023483276,0.994041919708252,0.0031161291990429163,0.8945515751838684,1.0,0.004803686868399382,0.007919822819530964,0.992935836315155,0.9823379516601562,0.006550129037350416,0.8908043503761292,1.0,0.0046296496875584126,0.011179771274328232
11,0.996292769908905,0.9907355308532715,0.004609865136444569,0.8876675367355347,1.0,0.005969442892819643,0.010579293593764305,0.9938380122184753,0.9845520257949829,0.00660933181643486,0.8737018704414368,1.0,0.004960308317095041,0.011569633148610592
12,0.9973645210266113,0.9934121966362,0.0034947660751640797,0.8656047582626343,1.0,0.0060814013704657555,0.009576167911291122,0.9964903593063354,0.9912245273590088,0.0057235159911215305,0.89836186170578,1.0,0.00458744540810585,0.010310963727533817
