epoch,gait_events_binary_accuracy,gait_events_categorical_accuracy,gait_events_loss,gait_sequences_binary_accuracy,gait_sequences_categorical_accuracy,gait_sequences_loss,loss,val_gait_events_binary_accuracy,val_gait_events_categorical_accuracy,val_gait_events_loss,val_gait_sequences_binary_accuracy,val_gait_sequences_categorical_accuracy,val_gait_sequences_loss,val_loss
0,0.9436954855918884,0.882192075252533,0.06460011005401611,0.16161669790744781,1.0,0.22310522198677063,0.28770530223846436,0.9930093288421631,0.982746422290802,0.014789466746151447,0.14900165796279907,1.0,0.17764651775360107,0.19243577122688293
1,0.9955763220787048,0.9890881776809692,0.011669106781482697,0.13383105397224426,1.0,0.14063218235969543,0.15230122208595276,0.9958690404891968,0.9896762371063232,0.009969834238290787,0.1480312943458557,1.0,0.14278684556484222,0.15275728702545166
2,0.9972336888313293,0.9931085705757141,0.006678215693682432,0.08627519756555557,1.0,0.1414378136396408,0.14811581373214722,0.9937547445297241,0.9843851327896118,0.011048000305891037,0.14813977479934692,1.0,0.13854306936264038,0.14959166944026947
3,0.9957106709480286,0.9892868399620056,0.007514926604926586,0.1606183797121048,1.0,0.13073742389678955,0.13825231790542603,0.9955143332481384,0.988789439201355,0.008320184424519539,0.1486039012670517,1.0,0.13058926165103912,0.13891033828258514
4,0.9961560964584351,0.9903988242149353,0.005904269404709339,0.1393408179283142,1.0,0.1325816512107849,0.1384861171245575,0.9967923760414124,0.9919801950454712,0.007531408220529556,0.1486414223909378,1.0,0.1298457682132721,0.1373780518770218
5,0.996772825717926,0.991937518119812,0.004910982679575682,0.1276632845401764,1.0,0.1330983191728592,0.13800956308841705,0.9952765703201294,0.9881910085678101,0.007304144557565451,0.14864064753055573,1.0,0.12985190749168396,0.13715699315071106
6,0.9976028800010681,0.9940070509910583,0.0036243784707039595,0.09518535435199738,1.0,0.13829034566879272,0.1419152021408081,0.9938105940818787,0.9845271110534668,0.008228416554629803,0.14864026010036469,1.0,0.12984146177768707,0.13807068765163422
7,0.9958347082138062,0.9895853996276855,0.005616865120828152,0.17035697400569916,1.0,0.12663917243480682,0.13225631415843964,0.9961121082305908,0.9902842044830322,0.0057019139640033245,0.14864055812358856,1.0,0.12983539700508118,0.13553816080093384
8,0.9972970485687256,0.9932442307472229,0.003778554731979966,0.11338163912296295,1.0,0.13522186875343323,0.13900063931941986,0.9966601729393005,0.9916493892669678,0.006242590956389904,0.1486409455537796,1.0,0.12982484698295593,0.1360684335231781
9,0.997256875038147,0.9931442141532898,0.0037782813888043165,0.12054824084043503,1.0,0.13411517441272736,0.13789400458335876,0.9906242489814758,0.9765620231628418,0.009721169248223305,0.1486409455537796,1.0,0.12982484698295593,0.1395469605922699
10,0.9975928664207458,0.9939853549003601,0.0032135089859366417,0.10660195350646973,1.0,0.13625414669513702,0.13946804404258728,0.9945836067199707,0.9864588975906372,0.006060301326215267,0.1486409455537796,1.0,0.12982484698295593,0.13588590919971466
11,0.9963133335113525,0.9907859563827515,0.00469758128747344,0.1645168960094452,1.0,0.1274452805519104,0.1321430802345276,0.9946698546409607,0.9866772890090942,0.00655633769929409,0.1486409455537796,1.0,0.12982484698295593,0.13638216257095337
12,0.9973474740982056,0.9933671951293945,0.0035778905730694532,0.12792372703552246,1.0,0.1329861581325531,0.13656432926654816,0.9970118403434753,0.9925306439399719,0.006466808263212442,0.1486409455537796,1.0,0.12982484698295593,0.13629235327243805
